Supplier_Industry,Advertising,Aerospace & Defense,Agricultural & Farm Machinery,Agricultural Products & Services,Air Freight & Logistics,Airport Services,Aluminum,Apparel Retail,"Apparel, Accessories & Luxury Goods",Automobile Manufacturers,Automotive Parts & Equipment,Automotive Retail,Biotechnology,Brewers,Building Products,Cable & Satellite,Casinos & Gaming,Coal & Consumable Fuels,Commercial Printing,Commodity Chemicals,Communications Equipment,Computer & Electronics Retail,Construction & Engineering,Construction Machinery & Heavy Transportation Equipment,Construction Materials,Consumer Electronics,Consumer Staples Merchandise Retail,Copper,Distillers & Vintners,Distributors,Diversified Chemicals,Diversified Metals & Mining,Diversified Support Services,Drug Retail,Education Services,Electric Utilities,Electrical Components & Equipment,Electronic Components,Electronic Equipment & Instruments,Environmental & Facilities Services,Fertilizers & Agricultural Chemicals,Food Distributors,Food Retail,Footwear,Forest Products,Gas Utilities,Gold,Health Care Distributors,Health Care Equipment,Health Care Facilities,Health Care Services,Health Care Supplies,Health Care Technology,Heavy Electrical Equipment,Highways & Railtracks,Home Furnishings,Home Improvement Retail,Homebuilding,Homefurnishing Retail,"Hotels, Resorts & Cruise Lines",Household Appliances,Household Products,Housewares & Specialties,Human Resource & Employment Services,Industrial Gases,Industrial Machinery & Supplies & Components,Integrated Telecommunication Services,Internet Services & Infrastructure,Leisure Facilities,Leisure Products,Life Sciences Tools & Services,Marine Ports & Services,Marine Transportation,"Metal, Glass & Plastic Containers",Motorcycle Manufacturers,Movies & Entertainment,Office Services & Supplies,Oil & Gas Drilling,Oil & Gas Equipment & Services,Oil & Gas Exploration & Production,Oil & Gas Refining & Marketing,Oil & Gas Storage & Transportation,Other Specialty Retail,Packaged Foods & Meats,Paper & Plastic Packaging Products & Materials,Paper Products,Passenger Airlines,Personal Care Products,Pharmaceuticals,Publishing,Rail Transportation,Renewable Electricity,Research & Consulting Services,Restaurants,Security & Alarm Services,Semiconductors,Soft Drinks & Non-alcoholic Beverages,Specialized Consumer Services,Specialty Chemicals,Steel,Technology Distributors,"Technology Hardware, Storage & Peripherals",Textiles,Tires & Rubber,Trading Companies & Distributors,Water Utilities,Wireless Telecommunication Services
Advertising,628696604.65,0.0,0.0,0.0,0.0,1066444.66,0.0,0.0,12765345.35,5079231.5,10223775.14,320754.72,0.0,0.0,18073584.93,811386228.08,0.0,0.0,56525947.68,0.0,0.0,0.0,907691.64,0.0,0.0,30034400.0,0.0,0.0,33018868.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9816651.43,0.0,0.0,0.0,0.0,458734.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244339.62,585389262.07,0.0,235849.05,0.0,0.0,0.0,0.0,286658.27,0.0,0.0,0.0,0.0,0.0,81245993.77,2571422.6,0.0,0.0,12329799.07,12163760.72,0.0,0.0,0.0,0.0,371601634.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804254418.82,0.0,14569631.13,7640323.180000001,819200.0,0.0,0.0,571168.07,0.0,0.0,340669.58999999997,0.0,0.0,0.0,22792424.94,9369878.790000001,0.0,39784.88,0.0,118700.0,90314389.8,0.0
Aerospace & Defense,0.0,911778813.86,0.0,0.0,0.0,35526393.66,0.0,59342.47,53608.87,4549966.88,571001.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945662157.28,298531695.4,0.0,2911504.42,2911492581.7999997,0.0,0.0,0.0,0.0,9741492.16,0.0,936007.05,50494387.97,0.0,71526644.88,0.0,0.0,30936556.740000002,126281746.98,5487534.35,143200.0,0.0,0.0,0.0,0.0,0.0,0.0,882264.15,0.0,1477944.57,0.0,0.0,51747303.47,13846146.469999999,21892457.63,0.0,0.0,0.0,0.0,0.0,7748928.21,0.0,0.0,389006.26,0.0,0.0,58191377.9,0.0,0.0,0.0,0.0,1354590260.32,0.0,0.0,0.0,25492600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10606146.82,271234414.23,408663.0,28437849.56,0.0,2775501.78,22179961.26,0.0,20062284.03,18867.92,0.0,0.0,148672.57,0.0,0.0,0.0,49959683.48,203310.34,0.0,56047561.63,101563.93,10810945.22,0.0,0.0
Agricultural & Farm Machinery,0.0,0.0,535433144.78999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15173167.71,89583.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102861390.41,0.0,0.0,0.0,106769.92,0.0,0.0,0.0,69768159.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155839526.45000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141722400.77,385726923.58000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22542669.970000003,0.0,0.0,0.0,0.0,557922563.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40943.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9900322.45,0.0,1376146.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agricultural Products & Services,0.0,0.0,0.0,2199405561.67,0.0,0.0,0.0,0.0,10649415.77,0.0,28898.57,0.0,88837634.05,0.0,0.0,0.0,0.0,0.0,985.32,74093553.17,0.0,0.0,36965963.22,0.0,185336.11,0.0,0.0,0.0,0.0,93630.04,195885943.12,16224569.6,18156570.8,0.0,0.0,0.0,30546907.450000003,0.0,116450605.32,36082.19,363381377.45,159921307.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,1137316.87,2802654.91,0.0,0.0,0.0,0.0,0.0,0.0,23678.45,0.0,0.0,0.0,0.0,0.0,830665.0,0.0,0.0,2503800.48,69550000.0,424219617.20000005,0.0,0.0,0.0,0.0,0.0,124296.0,0.0,0.0,0.0,0.0,0.0,103903046.85,1370597512.01,52219306.38,0.0,0.0,0.0,23808575.03,0.0,0.0,461449416.94,17853211.01,554158.0,0.0,885073.61,121260100.0,0.0,0.0,1592205.8,1047639.49,5287259.3,2983720.2,0.0,177040261.47,7756070.0,0.0
Air Freight & Logistics,0.0,0.0,0.0,981483159.4499999,7015343699.35,53937962.37,184358888.87,0.0,285244325.19,0.0,7807944.68,0.0,8662457.89,0.0,443119.25,0.0,0.0,0.0,0.0,278725789.51,82255761.33,0.0,90426856.08,145641685.96,3172577.7300000004,0.0,0.0,0.0,1375209.4500000002,2525889.38,513885967.57,55115541.62,49277540.980000004,0.0,0.0,0.0,309484632.77,0.0,3716930.99,240609886.14,139739912.88,0.0,0.0,0.0,0.0,68170399.16,394129425.69,10750030.9,0.0,0.0,0.0,199245.26,994355527.6,33367810.94,23329752.31,3302.75,0.0,0.0,0.0,762494881.27,568155842.01,0.0,111236144.92,0.0,0.0,892731451.4599999,0.0,0.0,0.0,0.0,89628435.99,348018650.32,99616647.78,0.0,0.0,0.0,278342.38,0.0,0.0,0.0,323011.37,0.0,0.0,2050000.0,55671504.76,134295187.38,531053.0,0.0,0.0,73957680.46,326135837.79999995,121304404.47,6670558.7,0.0,11648263.66,72808859.95,0.0,0.0,1354884.96,1313521752.29,91095445.68,17981.65,0.0,39875122.94,80463752.4,0.0,0.0
Airport Services,822959009.08,613106207.74,0.0,0.0,160360214.63,726201678.53,0.0,0.0,0.0,0.0,1284840.0,0.0,0.0,0.0,21491755.62,0.0,0.0,0.0,0.0,109337440.19,16679.88,0.0,72701484.49,0.0,34515044.25,0.0,0.0,0.0,0.0,0.0,41562196.34,0.0,0.0,0.0,0.0,0.0,75312001.65,0.0,55014577.0,0.0,375013705.29,0.0,0.0,0.0,0.0,263936616.85,0.0,0.0,0.0,0.0,6600.0,0.0,167794.03,63614824.08,2171529.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8635425.46,0.0,0.0,145283285.25,120754.72,0.0,0.0,0.0,3394843.5700000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32996821.02,512073036.28999996,0.0,0.0,0.0,0.0,379306874.56000006,0.0,0.0,0.0,79011934.02,0.0,0.0,0.0,129996884.05,0.0,5851933.85,0.0,0.0,0.0,124155099.57,0.0
Aluminum,0.0,0.0,30739684.44,0.0,16541007.29,0.0,4706745556.7300005,0.0,47192252.46,20507579.46,51749383.84,0.0,2675873.19,0.0,0.0,0.0,0.0,2641400.0,34735803.91,144899862.5,507238816.38,0.0,416799.33999999997,25539802.91,0.0,0.0,0.0,19195009.8,0.0,20708365.259999998,36870966.04,134105285.55,0.0,0.0,0.0,0.0,278067301.52,972.65,115848578.59,0.0,11827726.3,0.0,0.0,0.0,0.0,237808813.71,0.0,0.0,0.0,0.0,52375.22,622.02,19994295.89,0.0,0.0,0.0,0.0,0.0,0.0,584824.59,0.0,0.0,69812957.57,0.0,0.0,430810522.59,0.0,0.0,0.0,0.0,2841384.85,18170.85,0.0,0.0,0.0,160415.33,30295149.65,0.0,0.0,0.0,0.0,0.0,0.0,13279612.81,174193.04,0.0,0.0,0.0,0.0,325922162.14000005,0.0,326949350.19,12401966.09,0.0,0.0,1696186225.75,0.0,0.0,0.0,1029180671.99,508300186.28,892996437.31,938615.3,0.0,281091900.0,30000.0,0.0
Apparel Retail,0.0,0.0,24205939.24,156642341.28,0.0,0.0,5733034.86,73712930.23,0.0,0.0,397026347.49,0.0,0.0,0.0,189855780.77,0.0,0.0,0.0,0.0,88211061.18,534528673.1,3536431.69,138638652.09,5636228.36,37888795.56,0.0,0.0,0.0,0.0,4035296.14,42197394.54,329164146.92,0.0,9350360.18,0.0,379303942.73,36913551.46,0.0,8711574.51,4179984.77,0.0,22209854.59,0.0,0.0,0.0,0.0,51578800.0,0.0,44484757.06,0.0,0.0,0.0,168951297.92000002,0.0,0.0,0.0,0.0,0.0,0.0,633206.72,0.0,0.0,150365.81,0.0,0.0,125232822.04,0.0,0.0,0.0,0.0,35065858.300000004,0.0,150943.38,0.0,10689043.1,0.0,9556983.32,0.0,0.0,0.0,0.0,0.0,0.0,379091680.89,0.0,20373728.64,0.0,0.0,61204187.629999995,0.0,0.0,63068629.13,11910936.74,0.0,0.0,208089427.52999997,0.0,0.0,350826927.77,267063966.01999998,4191682.52,0.0,0.0,0.0,26942556.8,0.0,0.0
"Apparel, Accessories & Luxury Goods",26548.67,0.0,0.0,6354895.55,624634309.1600001,24376492.09,1613269.4100000001,0.0,1552396372.6699998,51668527.01,46465352.269999996,0.0,59827464.54,58379463.83,269968.17,10935.81,0.0,0.0,1327.43,625569409.14,35442780.13,113600.0,216927624.91,2008455.0,291944838.95,0.0,0.0,16486.73,98961.24,174115274.5,48155240.019999996,45751810.8,20070812.310000002,0.0,0.0,346920717.95,253819538.85999998,120636445.43,167917746.14999998,15206268.36,935835136.33,2737526.9,0.0,0.0,0.0,844540.6,8302348.52,0.0,0.0,0.0,67860005.16,1052883.61,31382432.82,36759374.51,0.0,0.0,169146384.23,0.0,0.0,61959423.5,695077254.36,0.0,51182234.190000005,6102.65,7834066.41,118608045.53,118400.90000000001,0.0,234513.27,53697400.0,119900638.64,55045.87,0.0,1021308.2,11483040.96,0.0,1457547.14,0.0,0.0,0.0,0.0,796600.0,783903.1,134660126.07,208792.04,21932626.680000003,6565661.79,0.0,11185212.379999999,2355623.17,0.0,334310307.26,94741680.46000001,0.0,17305500.0,56680758.57,0.0,0.0,12675992.89,272396840.77000004,130429310.14,1309097.72,282084257.21,173191451.97,38798200.69,0.0,0.0
Automobile Manufacturers,0.0,2039586.5,0.0,0.0,4185840.71,0.0,22714.65,0.0,459841739.95,28746582391.47,1477333839.16,52007663.77,0.0,0.0,58905757.06,0.0,0.0,0.0,8247.0,8801800.42,21063802.869999997,0.0,989826802.02,4971924.05,10875000.0,284372779.64,849665106.0,0.0,0.0,9214223.28,384656.74,257409340.28,0.0,0.0,2484217.9899999998,602759768.79,194191168.53,930602.78,593966.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478994958.85,158180312.81,833551171.6,0.0,53381037.27,0.0,0.0,0.0,19237108.21,1218151.49,0.0,0.0,0.0,0.0,1408405661.3,10921517.44,0.0,0.0,0.0,17187600.76,0.0,2015218.97,0.0,1256.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8437736.71,13452881.54,0.0,0.0,0.0,8813564.57,11943.4,0.0,822039560.2700001,564051319.94,0.0,0.0,128585414.18,0.0,0.0,0.0,12633.02,35452979.77,1009899.82,1528.84,0.0,544562.57,0.0,0.0
